Year,Group,LogHWBurden
2021,3,9.387389826516719
2021,3,9.265525335454718
2021,3,9.167317335043615
2021,3,10.16731733477772
2021,3,8.681241238280368
2021,3,8.591064608140075
2021,3,8.721810616036635
2021,2,8.662757832625692
2021,3,8.681241238280368
2020,3,8.681241238280368
2021,3,8.519827995087788
2020,3,8.80071707896956
2020,3,8.681241238280368
2020,2,8.681241238280368
2021,3,9.857332496491587
2021,3,9.431363764319837
2021,3,8.816903840037694
2021,3,8.80071707896956
2020,3,8.487138376891826
2021,2,8.442479770632298
2021,2,8.238046105639167
2021,3,9.53147891716999
2021,2,8.294466228366133
2020,3,7.819543942122088
2021,2,8.471291712526149
2019,2,7.819543942122088
2021,2,8.285557311258005
2021,3,8.082785373905661
2021,2,8.576571685216654
2020,3,7.633468465679458
2021,3,8.641870546466947
2021,2,8.551449999192803
2019,3,8.91855453107415
2019,2,7.633468465679458
2020,3,7.477121269196145
2021,2,8.176091261950978
2021,3,8.576571685216654
2021,2,8.432969292476969
2021,3,7.934498456293504
2021,2,7.934498456293504
2019,2,7.477121269196145
2021,2,8.432809006636322
2021,3,7.740362697390507
2021,1,7.90848502424031
2021,2,7.770852019003067
2020,3,7.278753623810433
2021,3,8.499824497213494
2021,2,8.269279392108071
2020,2,7.944482677085333
2020,1,7.941610807121541
2021,3,8.40636983717305
2021,3,8.082785373905661
2019,2,7.944482677085333
2021,2,7.939519257610509
2020,2,7.819543942122088
2018,3,8.91855453107415
2021,2,7.833784381024433
2021,2,7.748188034761459
2019,3,8.967547976686852
2019,2,7.278753623810433
2021,2,7.951823040168364
2019,2,7.819543942122088
2020,2,7.939519257610509
2021,2,7.431363780243968
2018,3,8.668385917621963
2020,3,7.880813597995193
2021,3,8.287353774955688
2021,3,7.740362697390507
2021,2,7.6711728519750935
2020,3,7.07918128223883
2019,3,7.819543942122088
2021,3,7.380211259807209
2019,3,8.285557311258005
2021,2,7.862727534275375
2021,2,7.586587315922907
2021,3,8.122543527343977
2021,2,7.875639942787051
2019,3,7.819543942122088
2021,2,8.2833012309655
2021,2,8.064457992970837
2019,3,7.944482677085333
2020,3,7.88649073081267
2021,3,7.623249300738245
2018,3,8.287801732168857
2021,2,7.875639942787051
2020,2,7.934498456293504
2019,2,7.07918128223883
2021,2,7.424881652957927
2020,3,7.407900557120527
2020,3,7.278753623810433
2019,3,7.633468465679458
2021,2,7.73158877324415
