begin,end,institute_type,sota_name,begin_year,end_year,days_on_top
4/30/15,12/8/15,firm,Object Detection on COCO test-dev,2015,2015,222
12/8/15,12/10/15,collaboration,Object Detection on COCO test-dev,2015,2015,2
12/10/15,12/9/16,firm,Object Detection on COCO test-dev,2015,2016,365
12/9/16,12/20/16,collaboration,Object Detection on COCO test-dev,2016,2016,11
12/20/16,3/17/17,collaboration,Object Detection on COCO test-dev,2016,2017,87
3/17/17,3/20/17,firm,Object Detection on COCO test-dev,2017,2017,3
3/20/17,8/7/17,firm,Object Detection on COCO test-dev,2017,2017,140
8/7/17,11/18/17,firm,Object Detection on COCO test-dev,2017,2017,103
11/18/17,11/22/17,collaboration,Object Detection on COCO test-dev,2017,2017,4
11/22/17,5/23/18,university,Object Detection on COCO test-dev,2017,2018,182
5/23/18,9/18/18,university,Object Detection on COCO test-dev,2018,2018,118
9/18/18,1/7/19,collaboration,Object Detection on COCO test-dev,2018,2019,111
1/7/19,6/26/19,collaboration,Object Detection on COCO test-dev,2019,2019,170
6/26/19,8/23/19,firm,Object Detection on COCO test-dev,2019,2019,58
8/23/19,6/3/20,collaboration,Object Detection on COCO test-dev,2019,2020,285
6/3/20,11/16/20,collaboration,Object Detection on COCO test-dev,2020,2020,166
11/16/20,12/13/20,collaboration,Object Detection on COCO test-dev,2020,2020,27
12/13/20,3/25/21,collaboration,Object Detection on COCO test-dev,2020,2021,102
3/25/21,6/15/21,firm,Object Detection on COCO test-dev,2021,2021,82
6/15/21,6/16/21,firm,Object Detection on COCO test-dev,2021,2021,1
6/16/21,11/18/21,collaboration,Object Detection on COCO test-dev,2021,2021,155
11/18/21,3/7/22,firm,Object Detection on COCO test-dev,2021,2022,109
3/7/22,5/27/22,university,Object Detection on COCO test-dev,2022,2022,81
5/27/22,10/17/22,collaboration,Object Detection on COCO test-dev,2022,2022,143
12/11/13,2/7/16,collaboration,Language Modelling on One Billion Word,2013,2016,788
2/7/16,9/28/18,firm,Language Modelling on One Billion Word,2016,2018,964
9/28/18,1/9/19,firm,Language Modelling on One Billion Word,2018,2019,103
1/9/19,3/1/21,collaboration,Language Modelling on One Billion Word,2019,2021,782
3/1/21,10/17/22,firm,Language Modelling on One Billion Word,2021,2022,595
5/8/17,6/8/17,collaboration,Question Answering on TriviaQA,2017,2017,31
6/8/17,10/29/17,firm,Question Answering on TriviaQA,2017,2017,143
10/29/17,10/1/18,collaboration,Question Answering on TriviaQA,2017,2018,337
10/1/18,5/28/20,collaboration,Question Answering on TriviaQA,2018,2020,605
5/28/20,12/8/20,firm,Question Answering on TriviaQA,2020,2020,194
12/8/20,12/13/21,collaboration,Question Answering on TriviaQA,2020,2021,370
12/13/21,4/5/22,firm,Question Answering on TriviaQA,2021,2022,113
